SOURCE_SHEET,ROW_TYPE,VT_TEMPLATE_NAME_TXT,VT_VIEW_TYPE_TXT,VT_DISCIPLINE_TXT,VT_VISUAL_STYLE_TXT,VT_DETAIL_LEVEL_TXT,VT_SCALE_TXT,VT_SHADOWS_BOOL,VT_AMBIENT_OCCLUSION_BOOL,VT_SILHOUETTES_BOOL,VT_FILTERS_APPLIED_TXT,VT_PHASE_FILTER_TXT,VT_PURPOSE_TXT,VT_BACKGROUND_IMAGE_TXT,VT_COLOR_SCHEME_TXT,VT_CREATED_BY_TXT,VT_DATE_CREATED_TXT,VT_LAST_MODIFIED_TXT,VT_STATUS_TXT,VT_ISO_COMPLIANCE_TXT,Category: Views,SYS_NAME_TXT,SYS_ABBREVIATION_TXT,SYS_CODE_TXT,SYS_CLASSIFICATION_TXT,SYS_MEDIUM_TXT,SYS_TEMPERATURE_NR,SYS_PRESSURE_NR,SYS_DESIGN_VELOCITY_TXT,COLOR_R_INT,COLOR_G_INT,COLOR_B_INT,SYS_LINE_WEIGHT_INT,SYS_LINE_STYLE_TXT,SYS_MATERIAL_STANDARD_TXT,SYS_INSULATION_TYPE_TXT,SYS_APPLICABLE_STANDARDS_TXT,Category: Duct Systems / Pipe Systems,FLT_NAME_TXT,FLT_CATEGORIES_TXT,FLT_RULES_TXT,FLT_LINE_COLOR_R_INT,FLT_LINE_COLOR_G_INT,FLT_LINE_COLOR_B_INT,FLT_LINE_WEIGHT_INT,FLT_SURFACE_PATTERN_TXT,FLT_CUT_PATTERN_TXT,FLT_TRANSPARENCY_INT,FLT_USED_IN_TEMPLATES_TXT,FLT_STATUS_TXT,LS_NAME_TXT,LS_WEIGHT_INT,LS_PATTERN_TXT,USAGE_TXT,LS_STATUS_TXT,Category: Lines / Detail Items,PH_NAME_TXT,PH_NUMBER_INT,PH_DESCRIPTION_TXT,PH_START_DATE_TXT,PH_END_DATE_TXT,PH_STATUS_TXT,Category: Project Information,WS_NAME_TXT,WS_DISCIPLINE_TXT,WS_TYPE_TXT,WS_OWNER_TXT,WS_DESCRIPTION_TXT,WS_EDITABLE_DEFAULT_BOOL,WS_VISIBLE_DEFAULT_BOOL,TS_NAME_TXT,TS_FONT_NAME_TXT,TS_FONT_SIZE_NR,TS_BOLD_BOOL,TS_ITALIC_BOOL,TS_UNDERLINE_BOOL,TS_WIDTH_FACTOR_NR,TS_STATUS_TXT,Category: Text Notes / Annotations,DS_NAME_TXT,DS_TYPE_TXT,DS_TEXT_SIZE_NR,DS_TEXT_FONT_TXT,DS_TICK_MARK_TXT,DS_TICK_SIZE_NR,DS_UNITS_FORMAT_TXT,DS_PRECISION_TXT,Category: Dimensions / Spot Elevations,BI_FILENAME_TXT,BI_DIMENSIONS_TXT,BI_TOP_COLOR_TXT,BI_BOTTOM_COLOR_TXT,BI_GRADIENT_TYPE_TXT,BI_FILE_LOCATION_TXT,BI_USED_IN_TEMPLATES_TXT,BI_CREATED_DATE_TXT,BI_STATUS_TXT,OS_CATEGORY_TXT,OS_SUBCATEGORY_TXT,OS_PROJECTION_WEIGHT_INT,OS_CUT_WEIGHT_INT,OS_PATTERN_TXT,OS_MATERIAL_TXT,Category: Walls / Floors / Roofs,CP_PALETTE_NAME_TXT,CP_ELEMENT_TYPE_TXT,CP_HEX_CODE_TXT,CP_USE_CASE_TXT,CP_STYLE_TXT,MA_ELEMENT_CATEGORY_TXT,MA_ELEMENT_NAME_TXT,MA_TEMPLATE_COMPLIANCE_TXT,MA_LAST_REVIEWED_DATE_TXT,MA_REVIEWED_BY_TXT,MA_ISSUES_FOUND_TXT,MA_ACTION_REQUIRED_TXT,MA_PRIORITY_TXT,MA_STATUS_TXT,MA_NOTES_TXT,SPARE_PARAM_01_TXT,SPARE_PARAM_02_TXT,SPARE_PARAM_03_TXT,SPARE_PARAM_04_NR,SPARE_PARAM_05_INT,Category: Generic Models,PARAMETER_NAME,GUID,DATATYPE,GROUP,DESCRIPTION,Template_Name,View_Type,Discipline,Scale,Detail_Level,Visual_Style,Show_Hidden,Shadows,Ambient_Shadows,Silhouettes,Phase_Filter,VG_Scheme,Filters_Applied,Default_Workset,View_Range,Underlay,Show_Grids,Show_Levels,Show_Sections,Background_R,Background_G,Background_B,Purpose,ISO_Code,Style_Reference,Sketchy_Lines,Transparency,Background_Type,Exposure,Saturation,Contrast,White_Point,Filters,Schedule Name,Category,Fields,Sorting,Formulas,Header_Color,Text_Color,Background_Color
PHASE_SCHEDULE,ISO_DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phase color red [ISO 19650-1:2018],Phase color green [ISO 19650-1:2018],Phase color blue [ISO 19650-1:2018],,,,,,,,,,,,,,,,,,,,,,,,,Phase name [ISO 19650-1:2018],Phase sequence number [ISO 19650-1:2018],Phase description [ISO 19650-1:2018],Phase start date [ISO 19650-2:2018],Phase end date [ISO 19650-2:2018],Phase status [ISO 19650-2:2018],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORKSET_SCHEDULE,DISPLAY_NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Workset name,Workset discipline,Workset type,Workset owner,Workset description,Editable by default,Visible by default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORKSET_SCHEDULE,GUID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7bc9b3de-0d80-48f1-a017-c0bd7fa035a3,5e0aa190-15fc-4826-b789-74c582fb755e,421ba4c2-fa9f-4d05-b870-074d4769c6e7,793f0a0c-df6f-4dc9-a18b-cee7c99dfebf,aad10304-92fe-424a-acb0-5699134837f9,43300beb-e9bc-484d-baa2-33ca812191b2,5f114a83-0645-4885-892a-ad18d2a54ec5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORKSET_SCHEDULE,DATA_TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEXT,TEXT,TEXT,TEXT,TEXT,YESNO,YESNO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORKSET_SCHEDULE,ISO_DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Workset name [ISO 19650-2:2018],Workset discipline [ISO 19650-2:2018],Workset type [ISO 19650-2:2018],Workset owner [ISO 19650-2:2018],Workset description [ISO 19650-2:2018],Editable by default [ISO 19650-2:2018],Visible by default [ISO 19650-2:2018],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXT_STYLE_SCHEDULE,DISPLAY_NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Text style usage,,,,,,,,,,,,,,,,,Text style name,Font name,Font size in mm,Bold text,Italic text,Underlined text,Text width factor,Text style status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXT_STYLE_SCHEDULE,GUID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1aa72a89-2bf5-4b0a-8f02-d0ec90729675,,,,,,,,,,,,,,,,,20f7ea6d-6171-4a0e-89b7-e456155106ac,4f860397-5d83-4279-9851-ab94be97ff1c,67f44a1a-3864-4d00-b8cf-8b2380ebb8ef,b1f962e5-f659-42a2-ae64-0915cbea2669,53f2ce73-56a8-4b6b-a607-a5256ca163ca,bdaa43c3-f722-4af1-93e1-d02da214a866,bbfcb884-5fb0-45b2-aac0-946deb714973,1c92cd35-b5ad-4d5c-8954-9aa37cd116a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXT_STYLE_SCHEDULE,DATA_TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEXT,,,,,,,,,,,,,,,,,TEXT,TEXT,NUMBER,YESNO,YESNO,YESNO,NUMBER,TEXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXT_STYLE_SCHEDULE,ISO_DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Text style usage [ISO 19650-1:2018],,,,,,,,,,,,,,,,,Text style name [ISO 19650-1:2018],Font name [ISO 19650-1:2018],Font size in mm [ISO 19650-1:2018],Bold text [ISO 19650-1:2018],Italic text [ISO 19650-1:2018],Underlined text [ISO 19650-1:2018],Text width factor [ISO 19650-1:2018],Text style status [ISO 19650-2:2018],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIMENSION_STYLE_SCHEDULE,DISPLAY_NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dimension style usage,,,,,,,,,,,,,,,,,,,,,,,,,,Dimension style name,Dimension type,Text size in mm,Text font,Tick mark style,Tick mark size in mm,Units format,Dimension precision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIMENSION_STYLE_SCHEDULE,GUID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c7aa8b9c-53be-4b40-9dc8-3ca723a4a720,,,,,,,,,,,,,,,,,,,,,,,,,,395b2b3b-843a-4db6-8358-01892db83144,88647645-8e89-45ba-b6bd-e44fd4f4a70d,62aaa434-fb79-426d-b5c7-79498e70bffb,8a55440d-e288-4c5f-9f5f-c2fcadf3a0af,411c6496-6b6d-43ef-94ee-5237433ff2db,cdccd3b9-cb8f-46f9-b87a-73ff3abd7af5,f5d032eb-78c4-4d1c-8dd0-cc4456324794,ae90f3da-b536-4049-9591-45f414795c76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIMENSION_STYLE_SCHEDULE,DATA_TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEXT,,,,,,,,,,,,,,,,,,,,,,,,,,TEXT,TEXT,NUMBER,TEXT,TEXT,NUMBER,TEXT,TEXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIMENSION_STYLE_SCHEDULE,ISO_DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dimension style usage [ISO 19650-1:2018],,,,,,,,,,,,,,,,,,,,,,,,,,Dimension style name [ISO 19650-1:2018],Dimension type [ISO 19650-1:2018],Text size in mm [ISO 19650-1:2018],Text font [ISO 19650-1:2018],Tick mark style [ISO 19650-1:2018],Tick mark size in mm [ISO 19650-1:2018],Units format [ISO 19650-1:2018],Dimension precision [ISO 19650-1:2018],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BACKGROUND_IMAGE_SCHEDULE,DISPLAY_NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Image filename,Image dimensions,Top gradient color RGB,Bottom gradient color RGB,Gradient type,File location path,Templates using this image,Date image created,Image status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BACKGROUND_IMAGE_SCHEDULE,GUID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7f8d94e3-c6d1-430b-8e3e-45281e628bf2,85e95414-1461-435f-880e-32392d310aa2,38ccbdc5-caea-4d85-aa28-99f47183871b,2d3dc9d8-acef-4f31-ad5a-498f428483da,9b1ed9d0-68c5-4437-98ad-f2533fa5ff27,8f508cf6-e55d-482f-ae03-11e423b970b6,40857b25-babc-43f5-b653-40e73d484f53,e7951912-7eb2-426f-b4f2-c26864866a82,da179b08-0b69-4a59-b607-4beef3a4a3dd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BACKGROUND_IMAGE_SCHEDULE,DATA_TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BACKGROUND_IMAGE_SCHEDULE,ISO_DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Image filename [ISO 19650-1:2018],Image dimensions [ISO 19650-1:2018],Top gradient color RGB [ISO 19650-1:2018],Bottom gradient color RGB [ISO 19650-1:2018],Gradient type [ISO 19650-1:2018],File location path [ISO 19650-1:2018],Templates using this image [ISO 19650-1:2018],Date image created [ISO 19650-2:2018],Image status [ISO 19650-2:2018],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBJECT_STYLE_SCHEDULE,DISPLAY_NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Object style color red,Object style color green,Object style color blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Object style category,Object style subcategory,Projection line weight,Cut line weight,Object style pattern,Default material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBJECT_STYLE_SCHEDULE,GUID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10e89aff-f4de-4d08-832d-1e2bea7bf354,7b455471-beb4-42fd-a24c-d13471d7ccbe,b0ded0bc-868b-4e0e-a611-425b76030b3d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23866d19-46aa-4aa1-b971-c799b11f2e54,27055713-2c19-463d-875e-bf35a5c6183e,b8452a4d-ed19-40b9-81cf-818cfe97ea07,d59a560c-d6d0-4c47-ba3c-95d2867d8682,125330b6-7976-4bf6-9935-2310e3f53b3a,c48b97fa-891a-4cad-890b-f68783bef2db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBJECT_STYLE_SCHEDULE,DATA_TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGER,INTEGER,INTEGER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEXT,TEXT,INTEGER,INTEGER,TEXT,TEXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBJECT_STYLE_SCHEDULE,ISO_DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Object style color red [ISO 19650-1:2018],Object style color green [ISO 19650-1:2018],Object style color blue [ISO 19650-1:2018],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Object style category [ISO 19650-1:2018],Object style subcategory [ISO 19650-1:2018],Projection line weight [ISO 19650-1:2018],Cut line weight [ISO 19650-1:2018],Object style pattern [ISO 19650-1:2018],Default material [ISO 19650-1:2018],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLOR_PALETTE_SCHEDULE,DISPLAY_NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Palette color red,Palette color green,Palette color blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color palette name,Element type in palette,Color hex code,Color use case,Style category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLOR_PALETTE_SCHEDULE,GUID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32c5ea87-b947-4e06-9565-2910f0c00acc,d0ef28a6-2856-44a7-a755-45e4fc061c78,fa8343b9-546a-44ad-a4ab-358ee8a446c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc38b0a6-f0e5-4a77-bcb1-80323b8b7322,5cdeb37b-1acc-4042-8aa9-16fc6e5b3792,507d4787-323a-4e10-b4fe-810f8aca3f48,d70b503e-5ef9-4a7f-9c72-9ce3f71b4280,bd30ce04-7273-4a90-80f2-45d95529cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLOR_PALETTE_SCHEDULE,DATA_TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGER,INTEGER,INTEGER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEXT,TEXT,TEXT,TEXT,TEXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLOR_PALETTE_SCHEDULE,ISO_DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Palette color red [ISO 19650-1:2018],Palette color green [ISO 19650-1:2018],Palette color blue [ISO 19650-1:2018],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color palette name [ISO 19650-1:2018],Element type in palette [ISO 19650-1:2018],Color hex code [ISO 19650-1:2018],Color use case [ISO 19650-1:2018],Style category [ISO 19650-1:2018],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASTER_AUDIT_SCHEDULE,DISPLAY_NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Element category,Element name,Template compliance status,Last review date,Reviewed by,Issues found,Required actions,Priority level,Audit status,Audit notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASTER_AUDIT_SCHEDULE,GUID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7a57b85f-2cbc-4e28-908d-ec2a200d3bae,d1914312-2ffb-403e-9e54-bc02917e42cd,22f067dc-c85d-4e62-82b2-832f1f6fcaee,8185981c-381d-4d8d-97e6-ac882be9b2fc,de9281af-99f0-4fb4-ad3f-11c7e729962c,5126b74b-b7f2-4f02-9bb1-b562ee526235,7c4b5055-c12d-41a1-ada5-977039d26a6a,55b66c29-7946-4a91-9f2c-fecb2e944447,768b0c97-5ba3-46aa-a79e-c2d3a19bcb78,30fa67c6-2118-4d9f-b10b-1a2ce22b177e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASTER_AUDIT_SCHEDULE,DATA_TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASTER_AUDIT_SCHEDULE,ISO_DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Element category [ISO 19650-2:2018],Element name [ISO 19650-2:2018],Template compliance status [ISO 19650-2:2018],Last review date [ISO 19650-2:2018],Reviewed by [ISO 19650-2:2018],Issues found [ISO 19650-2:2018],Required actions [ISO 19650-2:2018],Priority level [ISO 19650-2:2018],Audit status [ISO 19650-2:2018],Audit notes [ISO 19650-2:2018],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPARE_PARAMETERS_SCHEDULE,DISPLAY_NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spare parameter 01 for future use,Spare parameter 02 for future use,Spare parameter 03 for future use,Spare parameter 04 for future use,Spare parameter 05 for future use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPARE_PARAMETERS_SCHEDULE,GUID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7c5113ab-747f-483e-b0e0-2e95b7ac19a8,3be51d50-cbd9-42da-8306-85639d7e4962,24dd4826-4f02-4cb8-83d1-815fffd0aa0b,652513a2-455a-4047-83c4-edba7d205009,4dfa5da8-b92f-42a2-89b2-240dc1676ec2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPARE_PARAMETERS_SCHEDULE,DATA_TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEXT,TEXT,TEXT,NUMBER,INTEGER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPARE_PARAMETERS_SCHEDULE,ISO_DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spare parameter 01 for future use [ISO 19650-1:2018],Spare parameter 02 for future use [ISO 19650-1:2018],Spare parameter 03 for future use [ISO 19650-1:2018],Spare parameter 04 for future use [ISO 19650-1:2018],Spare parameter 05 for future use [ISO 19650-1:2018],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARAMETER_INDEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BI_BOTTOM_COLOR_TXT,2d3dc9d8-acef-4f31-ad5a-498f428483da,TEXT,TPL_TRACKING,Bottom gradient color RGB [ISO 19650-1:2018],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARAMETER_INDEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BI_CREATED_DATE_TXT,e7951912-7eb2-426f-b4f2-c26864866a82,TEXT,TPL_TRACKING,Date image created [ISO 19650-2:2018],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARAMETER_INDEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BI_DIMENSIONS_TXT,85e95414-1461-435f-880e-32392d310aa2,TEXT,TPL_TRACKING,Image dimensions [ISO 19650-1:2018],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARAMETER_INDEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BI_FILENAME_TXT,7f8d94e3-c6d1-430b-8e3e-45281e628bf2,TEXT,TPL_TRACKING,Image filename [ISO 19650-1:2018],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARAMETER_INDEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BI_FILE_LOCATION_TXT,8f508cf6-e55d-482f-ae03-11e423b970b6,TEXT,TPL_TRACKING,File location path [ISO 19650-1:2018],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARAMETER_INDEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BI_GRADIENT_TYPE_TXT,9b1ed9d0-68c5-4437-98ad-f2533fa5ff27,TEXT,TPL_TRACKING,Gradient type [ISO 19650-1:2018],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
